State/territory,Age group,Year,Participants,Population,Participation (%)
Qld,70–74,2018-2022,"25,301","80,584",31.4
Qld,25–74,2018-2022,"933,726","1,382,832",67.5
WA,25–29,2018-2022,"78,897","93,405",84.5
WA,30–34,2018-2022,"72,492","102,532",70.7
WA,35–39,2018-2022,"67,284","96,677",69.6
WA,40–44,2018-2022,"57,133","82,102",69.6
WA,45–49,2018-2022,"55,537","77,136",72.0
WA,50–54,2018-2022,"48,345","69,837",69.2
WA,55–59,2018-2022,"42,857","63,860",67.1
WA,60–64,2018-2022,"36,191","55,901",64.7
WA,65–69,2018-2022,"27,235","46,763",58.2
WA,70–74,2018-2022,"13,139","38,959",33.7
WA,25–74,2018-2022,"499,110","727,172",68.6
SA,25–29,2018-2022,"48,972","59,138",82.8
SA,30–34,2018-2022,"41,739","59,947",69.6
SA,35–39,2018-2022,"39,632","56,975",69.6
SA,40–44,2018-2022,"35,141","49,499",71.0
SA,45–49,2018-2022,"36,447","48,813",74.7
SA,50–54,2018-2022,"32,881","46,618",70.5
SA,55–59,2018-2022,"32,063","45,355",70.7
SA,60–64,2018-2022,"28,325","41,747",67.8
SA,65–69,2018-2022,"23,520","36,547",64.4
SA,70–74,2018-2022,"12,681","32,565",38.9
SA,25–74,2018-2022,"331,401","477,205",69.4
Tas,25–29,2018-2022,"15,413","19,118",80.6
Tas,30–34,2018-2022,"12,640","18,388",68.7
Tas,35–39,2018-2022,"11,306","16,542",68.3
Tas,40–44,2018-2022,"10,291","14,753",69.8
Tas,45–49,2018-2022,"11,103","15,162",73.2
Tas,50–54,2018-2022,"10,388","14,808",70.2
Tas,55–59,2018-2022,"10,547","15,070",70.0
Tas,60–64,2018-2022,"9,376","14,206",66.0
Tas,65–69,2018-2022,"7,486","12,414",60.3
Tas,70–74,2018-2022,"3,862","10,834",35.6
Tas,25–74,2018-2022,"102,412","151,296",67.7
ACT,25–29,2018-2022,"14,777","19,595",75.4
ACT,30–34,2018-2022,"13,208","19,034",69.4
ACT,35–39,2018-2022,"12,431","17,430",71.3
ACT,40–44,2018-2022,"10,026","14,096",71.1
ACT,45–49,2018-2022,"9,440","12,559",75.2
ACT,50–54,2018-2022,"7,868","10,566",74.5
ACT,55–59,2018-2022,"6,926","9,339",74.2
ACT,60–64,2018-2022,"5,757","7,980",72.1
ACT,65–69,2018-2022,"4,513","6,727",67.1
ACT,70–74,2018-2022,"2,448","5,924",41.3
ACT,25–74,2018-2022,"87,394","123,250",70.9
NT,25–29,2018-2022,"9,107","11,638",78.3
NT,30–34,2018-2022,"7,919","11,845",66.9
NT,35–39,2018-2022,"6,548","9,861",66.4
NT,40–44,2018-2022,"5,236","7,880",66.4
NT,45–49,2018-2022,"4,902","6,909",71.0
NT,50–54,2018-2022,"4,313","6,193",69.6
NT,55–59,2018-2022,"3,473","5,228",66.4
NT,60–64,2018-2022,"2,631","4,114",64.0
NT,65–69,2018-2022,"1,654","2,867",57.7
NT,70–74,2018-2022,673,"1,906",35.3
NT,25–74,2018-2022,"46,456","68,440",67.9
Australia,25–29,2018-2022,"731,985","921,704",79.4
Australia,30–34,2018-2022,"646,249","947,025",68.2
Australia,35–39,2018-2022,"598,926","881,880",67.9
Australia,40–44,2018-2022,"526,454","756,589",69.6
Australia,45–49,2018-2022,"527,529","722,898",73.0
Australia,50–54,2018-2022,"457,977","650,372",70.4
Australia,55–59,2018-2022,"427,087","608,156",70.2
Australia,60–64,2018-2022,"364,879","541,128",67.4
Australia,65–69,2018-2022,"284,747","458,018",62.2
Australia,70–74,2018-2022,"138,250","395,990",34.9
Australia,25–74,2018-2022,"4,704,083","6,883,759",68.3
