Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,Medicare Local Area Name,Medicare Local Area Code,2017 PHN Name,2017 PHN Code,2019 LGA Code,2019 LGA Name,Latitude,Longitude,2022/23 FY Australian Government Funding
Ashfield Terrace Care Community,8-10 Clissold Street, ,ASHFIELD,NSW,2131,Inner West,Residential,135,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,14170,Inner West (A),-33.89595,151.127894,"$9,272,400 "
Dorrigo Multi-Purpose Service,14 Beech Street, ,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,0,Mid North Coast Local Health District,State Government,Outer Regional Australia,5,11087,Dorrigo,10402,Coffs Harbour,North Coast NSW,ML113,North Coast,PHN109,10600,Bellingen (A),-30.340795,152.713811,"$1,536,135 "
Crowley Retirement Village,154 Cherry Street, ,BALLINA,NSW,2478,Far North Coast,Residential,77,0,0,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,3,11236,Ballina,11201,Richmond Valley - Coastal,North Coast NSW,ML113,North Coast,PHN109,10250,Ballina (A),-28.85368951,153.5693841,"$4,532,719 "
Warren Multi-Purpose Service,Dr Kater Drive, ,WARREN,NSW,2824,Orana Far West,Multi-Purpose Service,32,4,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11095,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,Western NSW,ML115,Western NSW,PHN107,17950,Warren (A),-31.693977,147.836194,"$2,093,370 "
Tumbarumba Multi-Purpose Service,4 Mitchell Street, ,TUMBARUMBA,NSW,2653,Riverina/Murray,Multi-Purpose Service,42,10,0,Murrumbidgee Local Health District,State Government,Outer Regional Australia,5,11260,Tumbarumba,11302,Tumut - Tumbarumba,Murrumbidgee,ML116,Murrumbidgee,PHN110,17080,Snowy Valleys (A),-35.77979811,148.0055303,"$2,628,427 "
Murray Haven Hostel,98 Punt Road, ,BARHAM,NSW,2732,Riverina/Murray,Residential,55,0,0,Murray Haven Homes Limited,Community Based,Outer Regional Australia,5,11183,Deniliquin Region,10903,Upper Murray exc. Albury,Loddon - Mallee - Murray,ML214,Murrumbidgee,PHN110,15520,Murray River (A),-35.62314526,144.1331867,"$4,082,749 "
Delegate Multi-Purpose Service,15 Craigie Street, ,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,10,4,0,Southern NSW Local Health District,State Government,Outer Regional Australia,5,11013,Bombala,10103,Snowy Mountains,Southern NSW,ML117,South Eastern NSW,PHN106,17040,Snowy Monaro Regional (A),-37.044992,148.945673,"$794,083 "
Richardson House,24 Gotha Street, ,BARRABA,NSW,2347,New England,Residential,21,0,0,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,5,11205,Tamworth Region,11004,Tamworth - Gunnedah,New England,ML114,Hunter New England and Central Coast,PHN108,17310,Tamworth Regional (A),-30.38285943,150.6051632,"$1,660,942 "
Culcairn Multi-Purpose Service,57 Balfour Street, ,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,28,2,0,Murrumbidgee Local Health District,State Government,Inner Regional Australia,5,11175,Albury Region,10901,Albury,Hume,ML216,Murrumbidgee,PHN110,13340,Greater Hume Shire (A),-35.667327,147.042488,"$1,827,898 "
Weeroona Aged Care Plus Centre,14 Trebartha Street, ,BASS HILL,NSW,2197,South West Sydney,Residential,104,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11354,Bass Hill - Georges Hall,11901,Bankstown,South Western Sydney,ML104,South Western Sydney,PHN105,11570,Canterbury-Bankstown (A),-33.89957214,151.0034707,"$9,443,539 "
Oberon Multi-Purpose Service,67-75 North Street, ,OBERON,NSW,2787,Central West,Multi-Purpose Service,14,8,0,Western NSW Local Health District,State Government,Inner Regional Australia,5,11061,Oberon,10301,Bathurst,Western NSW,ML115,Western NSW,PHN107,16100,Oberon (A),-33.70539358,149.8530251,"$1,138,402 "
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street, ,BATEAU BAY,NSW,2261,Central Coast,Residential,95,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast NSW,ML109,Hunter New England and Central Coast,PHN108,11650,Central Coast (C) (NSW),-33.37428044,151.4793683,"$6,381,886 "
Trangie Multi-Purpose Service,28 Harris Street, ,TRANGIE,NSW,2823,Orana Far West,Multi-Purpose Service,21,2,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11105,Narromine,10503,Dubbo,Western NSW,ML115,Western NSW,PHN107,15850,Narromine (A),-32.02902357,147.9742714,"$1,484,758 "
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue, ,BATEAU BAY,NSW,2261,Central Coast,Residential,80,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast NSW,ML109,Hunter New England and Central Coast,PHN108,11650,Central Coast (C) (NSW),-33.37655678,151.4805947,"$5,549,985 "
Trundle Multi-Purpose Service,44 Brookview Street, ,TRUNDLE,NSW,2875,Central West,Multi-Purpose Service,9,0,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11068,Parkes Region,10302,Lachlan Valley,Western NSW,ML115,Western NSW,PHN107,16200,Parkes (A),-32.92132544,147.704235,"$641,199 "
Bupa Bateau Bay,17 Bias Avenue, ,BATEAU BAY,NSW,2261,Central Coast,Residential,101,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast NSW,ML109,Hunter New England and Central Coast,PHN108,11650,Central Coast (C) (NSW),-33.37900507,151.4785501,"$7,413,177 "
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street, ,BELLINGEN,NSW,2454,Mid North Coast,Residential,24,0,0,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,5,11083,Bellingen,10402,Coffs Harbour,North Coast NSW,ML113,North Coast,PHN109,10600,Bellingen (A),-30.45592416,152.8964324,"$2,012,504 "
Uniting Narla Belmont North,21 Lentara Road, ,BELMONT NORTH,NSW,2280,Hunter,Residential,40,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11206,Belmont - Bennetts Green,11101,Lake Macquarie - East,Hunter,ML111,Hunter New England and Central Coast,PHN108,14650,Lake Macquarie (C),-33.02256615,151.6582985,"$3,131,668 "
St Elizabeth Home,1 Symonds Road, ,DEAN PARK,NSW,2761,Western Sydney,Residential,114,0,0,St Elizabeth Home,Religious,Major Cities of Australia,1,11314,Glendenning - Dean Park,11603,Mount Druitt,Western Sydney,ML105,Western Sydney,PHN103,10750,Blacktown (C),-33.73890812,150.8617045,"$7,046,171 "
Harold Williams Home,267 Eyre Street, ,BROKEN HILL,NSW,2880,Orana Far West,Residential,40,0,0,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,3,11097,Broken Hill,10502,Broken Hill and Far West,Far West NSW,ML118,Western NSW,PHN107,11250,Broken Hill (C),-31.9743008,141.4626468,"$3,166,986 "
Aruma Lodge,Beryl Street, ,BROKEN HILL,NSW,2880,Orana Far West,Residential,58,0,0,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,3,11097,Broken Hill,10502,Broken Hill and Far West,Far West NSW,ML118,Western NSW,PHN107,11250,Broken Hill (C),-31.943575,141.485104,"$4,706,022 "
Byron Aged Care,1 Butler Street, ,BYRON BAY,NSW,2481,Far North Coast,Residential,41,0,0,Byron Aged Care Limited,Charitable,Inner Regional Australia,4,11240,Byron Bay,11201,Richmond Valley - Coastal,North Coast NSW,ML113,North Coast,PHN109,11350,Byron (A),-28.64178738,153.6107986,"$2,599,489 "
Paling Court Residential Aged Care,90 Werombi Road, ,GRASMERE,NSW,2570,South West Sydney,Residential,140,0,0,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,1,11433,Camden - Ellis Lane,12301,Camden,South Western Sydney,ML104,South Western Sydney,PHN105,11450,Camden (A),-34.05665981,150.6746141,"$9,111,217 "
IRT Lakeview Lodge,4 Ruth Place, ,DALMENY,NSW,2546,Southern Highlands,Residential,36,0,0,Illawarra Retirement Trust,Community Based,Outer Regional Australia,5,11027,Narooma - Bermagui,10104,South Coast,Southern NSW,ML117,South Eastern NSW,PHN106,12750,Eurobodalla (A),-36.16733209,150.1085019,"$1,508,794 "
Moyne Aged Care Plus Centre (0033),161 Nangar Road, ,CANOWINDRA,NSW,2804,Central West,Residential,34,0,0,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,5,11064,Cowra Region,10302,Lachlan Valley,Western NSW,ML115,Western NSW,PHN107,11400,Cabonne (A),-33.56393702,148.6450084,"$2,481,336 "
IBIS Care Miranda,2c Karimbla Road, ,MIRANDA,NSW,2228,South East Sydney,Residential,76,0,0,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11602,Caringbah,12801,Cronulla - Miranda - Caringbah,South Eastern Sydney,ML103,Central and Eastern Sydney,PHN101,17150,Sutherland Shire (A),-34.03918489,151.1141905,"$6,410,555 "
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street, ,CASINO,NSW,2470,Far North Coast,Residential,73,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11244,Casino,11202,Richmond Valley - Hinterland,North Coast NSW,ML113,North Coast,PHN109,16610,Richmond Valley (A),-28.872301,153.043292,"$5,357,723 "
Nuffield Village,284 Castle Hill Road, ,CASTLE HILL,NSW,2154,Northern Sydney,Residential,139,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Northern Sydney,ML107,Northern Sydney,PHN102,14000,Hornsby (A),-33.73141836,151.0225907,"$10,385,518 "
Warrina Village Hostel,2 Hilliard Drive, ,CASTLE HILL,NSW,2154,Northern Sydney,Residential,128,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Northern Sydney,ML107,Northern Sydney,PHN102,14000,Hornsby (A),-33.72850572,151.0234254,"$8,325,210 "
Brian King Gardens,1 Hilliard Drive, ,CASTLE HILL,NSW,2154,Northern Sydney,Residential,238,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Northern Sydney,ML107,Northern Sydney,PHN102,14000,Hornsby (A),-33.72850572,151.0234254,"$11,482,763 "
William Beech Gardens - Waler,1 Madline Street, ,CONDOBOLIN,NSW,2877,Central West,Residential,40,0,0,RSL LifeCare Limited,Community Based,Outer Regional Australia,5,11062,Condobolin,10302,Lachlan Valley,Western NSW,ML115,Western NSW,PHN107,14600,Lachlan (A),-33.08173415,147.1522513,"$1,973,747 "
Cooinda Hostel,100 Cassilis Street, ,COONABARABRAN,NSW,2357,Orana Far West,Residential,37,0,0,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,5,11099,Coonabarabran,10503,Dubbo,Western NSW,ML115,Western NSW,PHN107,18020,Warrumbungle Shire (A),-31.27408598,149.286025,"$2,527,631 "
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue, ,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11263,Cootamundra,11303,Wagga Wagga,Murrumbidgee,ML116,Murrumbidgee,PHN110,12160,Cootamundra-Gundagai Regional (A),-34.6335112,148.0183038,"$4,365,100 "
BaptistCare Mid Richmond Centre - Coraki,Surry Street, ,CORAKI,NSW,2471,Far North Coast,Residential,49,0,0,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,5,11245,Casino Region,11202,Richmond Valley - Hinterland,North Coast NSW,ML113,North Coast,PHN109,16610,Richmond Valley (A),-28.994059,153.277965,"$3,931,925 "
Southern Cross Care Karinya Residential Aged Care,125 Guy Street, ,COROWA,NSW,2646,Riverina/Murray,Residential,84,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11180,Corowa,10903,Upper Murray exc. Albury,Hume,ML216,Murrumbidgee,PHN110,12870,Federation (A),-35.9886123,146.3841826,"$5,107,494 "
Illawarra Diggers,8 Blundell Parade, ,CORRIMAL,NSW,2518,Illawarra,Residential,105,0,0,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,1,11145,Corrimal - Tarrawanna - Bellambi,10704,Wollongong,Illawarra - Shoalhaven,ML110,South Eastern NSW,PHN106,18450,Wollongong (C),-34.36680286,150.8939735,"$8,167,395 "
Calvary St Paul's Retirement Community,54 River Street, ,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,40,0,0,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,3,11169,Taree,10805,Taree - Gloucester,Hunter,ML111,Hunter New England and Central Coast,PHN108,15240,Mid-Coast (A),-31.90175824,152.5187223,"$3,336,443 "
Southern Cross Care Orana Residential Aged Care,59 Napier Street, ,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,50,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11182,Deniliquin,10903,Upper Murray exc. Albury,Loddon - Mallee - Murray,ML214,Murrumbidgee,PHN110,12730,Edward River (A),-35.52969114,144.9607788,"$4,004,777 "
Merton Court Hostel,91 Virginia Street, ,DENMAN,NSW,2328,Hunter,Residential,17,0,0,Merton Living Limited,Community Based,Inner Regional Australia,5,11127,Muswellbrook Region,10604,Upper Hunter,Hunter,ML111,Hunter New England and Central Coast,PHN108,15650,Muswellbrook (A),-32.38966725,150.6845241,"$1,579,856 "
Catholic Healthcare St Mary's Villa,46 Darling Street, ,DUBBO,NSW,2830,Orana Far West,Residential,49,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11100,Dubbo - East,10503,Dubbo,Western NSW,ML115,Western NSW,PHN107,12390,Dubbo Regional (A),-32.23852825,148.608666,"$2,839,750 "
Maybanke Aged Care Plus Centre,80 Wardell Road, ,DULWICH HILL,NSW,2203,Inner West,Residential,38,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11394,Dulwich Hill - Lewisham,12003,Strathfield - Burwood - Ashfield,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,14170,Inner West (A),-33.90848368,151.1437203,"$3,278,858 "
BaptistCare Cooinda Court,159 Balaclava Road, ,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,68,0,0,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,1,11500,Macquarie Park - Marsfield,12602,Ryde - Hunters Hill,Northern Sydney,ML107,Northern Sydney,PHN102,16700,Ryde (C),-33.777251,151.11049,"$5,202,221 "
Catholic Healthcare Jemalong Residential Village,240 Edward Street, ,FORBES,NSW,2871,Central West,Residential,130,0,0,Catholic Healthcare Limited,Charitable,Outer Regional Australia,4,11065,Forbes,10302,Lachlan Valley,Western NSW,ML115,Western NSW,PHN107,12900,Forbes (A),-33.35872232,147.9904663,"$7,808,999 "
Alexander Campbell House,51 Cook Street, ,FORESTVILLE,NSW,2087,Northern Sydney,Residential,36,0,0,The Churches of Christ Property Trust,Religious,Major Cities of Australia,1,11427,Forestville - Killarney Heights,12203,Warringah,Sydney North Shore and Beaches,ML108,Northern Sydney,PHN102,15990,Northern Beaches (A),-33.76389603,151.2189432,"$2,758,700 "
Harden Grange,78 Swift Street, ,HARDEN,NSW,2587,Southern Highlands,Residential,45,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11544,Young Region,10106,Young - Yass,Murrumbidgee,ML116,Murrumbidgee,PHN110,13910,Hilltops (A),-34.555306,148.358556,"$695,787 "
Uniting Caroona Jarman Goonellabah,65-101 Rous Road, ,GOONELLABAH,NSW,2480,Far North Coast,Residential,80,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11246,Goonellabah,11202,Richmond Valley - Hinterland,North Coast NSW,ML113,North Coast,PHN109,14850,Lismore (C),-28.82564046,153.3203039,"$6,666,093 "
Hunters Hill Village,8 D'aram Street, ,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,35,0,0,Twilight House,Community Based,Major Cities of Australia,1,11499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,Northern Sydney,ML107,Northern Sydney,PHN102,14100,Hunters Hill (A),-33.83368739,151.1523822,"$2,561,520 "
Gill Waminda Aged Care Plus Centre,4 Mary Street, ,GOULBURN,NSW,2580,Southern Highlands,Residential,103,0,0,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,3,11539,Goulburn,10105,Goulburn - Mulwaree,Southern NSW,ML117,South Eastern NSW,PHN106,13310,Goulburn Mulwaree (A),-34.76210651,149.6982514,"$7,940,966 "
Catholic Healthcare St Francis Aged Care,226 Arthur Street, ,GRAFTON,NSW,2460,Far North Coast,Residential,48,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11080,Grafton,10401,Clarence Valley,North Coast NSW,ML113,North Coast,PHN109,11730,Clarence Valley (A),-29.67275546,152.9371529,"$3,611,060 "
Southern Cross Care St Catherine's Residential Aged Care,126 North Street, ,GRAFTON,NSW,2460,Far North Coast,Residential,55,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,3,11080,Grafton,10401,Clarence Valley,North Coast NSW,ML113,North Coast,PHN109,11730,Clarence Valley (A),-29.67088759,152.941198,"$4,208,688 "
The Pioneers Lodge,15-23 Sidlow Road, ,GRIFFITH,NSW,2680,Riverina/Murray,Residential,95,0,0,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,3,11256,Griffith (NSW),11301,Griffith - Murrumbidgee (West),Murrumbidgee,ML116,Murrumbidgee,PHN110,13450,Griffith (C),-34.29702039,146.0405675,"$6,277,556 "
HammondCare - Bond House,8-10 Judd Avenue, ,HAMMONDVILLE,NSW,2170,South West Sydney,Residential,174,0,0,HammondCare,Charitable,Major Cities of Australia,1,11440,Ingleburn - Denham Court,12302,Campbelltown (NSW),South Western Sydney,ML104,South Western Sydney,PHN105,14900,Liverpool (C),-33.9716795,150.8597809,"$11,832,986 "
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road, ,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,52,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,Northern Sydney,ML107,Northern Sydney,PHN102,14100,Hunters Hill (A),-33.83397475,151.1420162,"$3,952,078 "
Catholic Healthcare St Bedes Home,2 Russell Lane, ,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,44,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11374,South Hurstville - Blakehurst,11903,Hurstville,South Eastern Sydney,ML103,Central and Eastern Sydney,PHN101,12930,Georges River (A),-33.97533351,151.1110823,"$3,569,735 "
McLean Care Ltd,67 Killean Street, ,INVERELL,NSW,2360,New England,Residential,138,0,0,McLean Care Ltd,Charitable,Outer Regional Australia,4,11191,Inverell,11002,Inverell - Tenterfield,New England,ML114,Hunter New England and Central Coast,PHN108,14200,Inverell (A),-29.76043511,151.1354318,"$9,715,732 "
Vincent Court,88 Leith Street, ,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,88,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,11155,Kempsey,10802,Kempsey - Nambucca,North Coast NSW,ML113,North Coast,PHN109,14350,Kempsey (A),-31.06106274,152.8256826,"$5,652,964 "
Blue Haven Bonaira,14 Bonaira Street, ,KIAMA,NSW,2533,Illawarra,Residential,134,0,0,The Council of the Municipality of Kiama,Local Government,Inner Regional Australia,2,11138,Kiama,10703,Kiama - Shellharbour,Illawarra - Shoalhaven,ML110,South Eastern NSW,PHN106,14400,Kiama (A),-34.682516,150.850041,"$8,039,550 "
Catholic Healthcare Bethlehem House,30 Montgomery Street, ,KOGARAH,NSW,2217,South East Sydney,Residential,29,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11378,Kogarah,11904,Kogarah - Rockdale,South Eastern Sydney,ML103,Central and Eastern Sydney,PHN101,12930,Georges River (A),-33.96392074,151.1345997,"$2,835,563 "
The Whiddon Group - Kyogle,1 George Street, ,KYOGLE,NSW,2474,Far North Coast,Residential,70,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,5,11247,Kyogle,11202,Richmond Valley - Hinterland,North Coast NSW,ML113,North Coast,PHN109,14550,Kyogle (A),-28.62575475,153.001548,"$4,599,863 "
St Basil's Lakemba,300 Haldon Street, ,LAKEMBA,NSW,2195,Inner West,Residential,195,0,0,St Basil's Homes,Charitable,Major Cities of Australia,1,11573,Lakemba,11902,Canterbury,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,11570,Canterbury-Bankstown (A),-33.92661622,151.0808402,"$10,743,350 "
Uniting Kamilaroi Lane Cove,155 Longueville Road, ,LANE COVE,NSW,2066,Northern Sydney,Residential,74,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,Sydney North Shore and Beaches,ML108,Northern Sydney,PHN102,14700,Lane Cove (A),-33.8170108,151.1697732,"$5,611,675 "
Uniting Annesley Haberfield,1 Haberfield Road, ,HABERFIELD,NSW,2045,Inner West,Residential,88,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,14170,Inner West (A),-33.88647264,151.141152,"$7,487,208 "
Uniting The Marion Leichhardt,237 Marion Street, ,LEICHHARDT,NSW,2040,Inner West,Residential,134,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11388,Leichhardt - Annandale,12002,Leichhardt,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,14170,Inner West (A),-33.88361937,151.1461364,"$10,213,522 "
Autumn Lodge Hostel,1-3 Short Street, ,MACKSVILLE,NSW,2447,Mid North Coast,Residential,95,0,0,NVC Group Limited,Community Based,Outer Regional Australia,4,11157,Macksville - Scotts Head,10802,Kempsey - Nambucca,North Coast NSW,ML113,North Coast,PHN109,15700,Nambucca (A),-30.712147,152.919977,"$5,139,856 "
The Whiddon Group - Maclean,27 Union Street, ,MACLEAN,NSW,2463,Far North Coast,Residential,61,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,5,11082,Maclean - Yamba - Iluka,10401,Clarence Valley,North Coast NSW,ML113,North Coast,PHN109,11730,Clarence Valley (A),-29.45435382,153.2034302,"$5,170,845 "
RFBI Benhome Masonic Village,30 Regent Street, ,MAITLAND,NSW,2320,Hunter,Residential,124,0,0,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,1,11114,Maitland,10602,Maitland,Hunter,ML111,Hunter New England and Central Coast,PHN108,15050,Maitland (C),-32.73008509,151.5454898,"$6,010,268 "
Brother Alberts Home,116-132 Quakers Road, ,MARAYONG,NSW,2148,Western Sydney,Residential,146,0,0,Holy Family Services,Charitable,Major Cities of Australia,1,11304,Blacktown (North) - Marayong,11601,Blacktown,Western Sydney,ML105,Western Sydney,PHN103,10750,Blacktown (C),-33.74258834,150.8864461,"$10,817,174 "
